113, 7, 0, Bask, Pyr, GABA
114, 7, 0, Bask, Pyr, GABA
115, 7, 0, Bask, Pyr, GABA
116, 7, 0, Bask, Pyr, GABA
117, 7, 0, Bask, Pyr, GABA
118, 7, 0, Bask, Pyr, GABA
119, 7, 0, Bask, Pyr, GABA
120, 7, 0, Bask, Pyr, GABA
101, 8, 0, Bask, Pyr, GABA
102, 8, 0, Bask, Pyr, GABA
103, 8, 0, Bask, Pyr, GABA
104, 8, 0, Bask, Pyr, GABA
105, 8, 0, Bask, Pyr, GABA
106, 8, 0, Bask, Pyr, GABA
107, 8, 0, Bask, Pyr, GABA
108, 8, 0, Bask, Pyr, GABA
109, 8, 0, Bask, Pyr, GABA
110, 8, 0, Bask, Pyr, GABA
111, 8, 0, Bask, Pyr, GABA
112, 8, 0, Bask, Pyr, GABA
113, 8, 0, Bask, Pyr, GABA
114, 8, 0, Bask, Pyr, GABA
115, 8, 0, Bask, Pyr, GABA
116, 8, 0, Bask, Pyr, GABA
117, 8, 0, Bask, Pyr, GABA
118, 8, 0, Bask, Pyr, GABA
119, 8, 0, Bask, Pyr, GABA
120, 8, 0, Bask, Pyr, GABA
101, 9, 0, Bask, Pyr, GABA
102, 9, 0, Bask, Pyr, GABA
103, 9, 0, Bask, Pyr, GABA
104, 9, 0, Bask, Pyr, GABA
105, 9, 0, Bask, Pyr, GABA
106, 9, 0, Bask, Pyr, GABA
107, 9, 0, Bask, Pyr, GABA
108, 9, 0, Bask, Pyr, GABA
109, 9, 0, Bask, Pyr, GABA
110, 9, 0, Bask, Pyr, GABA
111, 9, 0, Bask, Pyr, GABA
112, 9, 0, Bask, Pyr, GABA
113, 9, 0, Bask, Pyr, GABA
114, 9, 0, Bask, Pyr, GABA
115, 9, 0, Bask, Pyr, GABA
116, 9, 0, Bask, Pyr, GABA
117, 9, 0, Bask, Pyr, GABA
118, 9, 0, Bask, Pyr, GABA
119, 9, 0, Bask, Pyr, GABA
120, 9, 0, Bask, Pyr, GABA
101, 10, 0, Bask, Pyr, GABA
102, 10, 0, Bask, Pyr, GABA
103, 10, 0, Bask, Pyr, GABA
104, 10, 0, Bask, Pyr, GABA
105, 10, 0, Bask, Pyr, GABA
106, 10, 0, Bask, Pyr, GABA
107, 10, 0, Bask, Pyr, GABA
108, 10, 0, Bask, Pyr, GABA
109, 10, 0, Bask, Pyr, GABA
110, 10, 0, Bask, Pyr, GABA
111, 10, 0, Bask, Pyr, GABA
112, 10, 0, Bask, Pyr, GABA
113, 10, 0, Bask, Pyr, GABA
114, 10, 0, Bask, Pyr, GABA
115, 10, 0, Bask, Pyr, GABA
116, 10, 0, Bask, Pyr, GABA
117, 10, 0, Bask, Pyr, GABA
118, 10, 0, Bask, Pyr, GABA
119, 10, 0, Bask, Pyr, GABA
120, 10, 0, Bask, Pyr, GABA
101, 11, 0, Bask, Pyr, GABA
102, 11, 0, Bask, Pyr, GABA
103, 11, 0, Bask, Pyr, GABA
104, 11, 0, Bask, Pyr, GABA
105, 11, 0, Bask, Pyr, GABA
106, 11, 0, Bask, Pyr, GABA
107, 11, 0, Bask, Pyr, GABA
